35,cHst
36,cHst
37,cHst
38,cHst
39,cHst
40,cHst
41,cHst
42,cHst
43,cHst
44,cHst
45,cHst
46,cHst
47,cHst
48,cHst
49,cHst
50,cHst
51,cHst
52,cHst
126,cHst
127,cHst
128,cHst
129,cHst
130,cHst
131,cHst
132,cHst
133,cHst
134,cHst
135,cHst
136,cHst
137,cHst
138,cHst
139,cHst
140,cHst
141,cHst
142,cHst
143,cHst
71,fHst
73,fHst
74,fHst
83,fHst
84,fHst
85,fHst
146,fHst
147,fHst
72,fHst
25,fHst
26,fChr
53,fChr
54,fChr
55,fChr
1,cAnl
2,cAnl
3,cAnl
4,cAnl
5,cAnl
6,cAnl
7,cAnl
8,cAnl
9,cAnl
10,cAnl
11,cAnl
12,cAnl
13,cAnl
14,cAnl
15,cAnl
16,cAnl
17,cAnl
18,cAnl
19,cAnl
34,cChr
62,cChr
64,cChr
65,cChr
66,cChr
67,cChr
68,cChr
69,cChr
101,cChr
102,cChr
103,cChr
104,cChr
105,cChr
106,cChr
107,cChr
108,cChr
20,wChr
21,wChr
22,wChr
23,wChr
94,wChr
95,wChr
79,wChr
109,wCmb
110,wCmb
111,wCmb
112,wCmb
113,wCmb
114,wCmb
115,wCmb
116,wCmb
117,wCmb
118,wCmb
119,wCmb
120,wCmb
121,wCmb
122,wCmb
123,wCmb
61,wHst
70,wHst
77,wHst
88,wHst
