F61,F77,F88,F70,
11,1825,1967,2092,
9,1543,1895,1810,
9,1543,1895,1810,
23,2172,2043,2439,
29,2548,2100,2815,
29,2548,2100,2815,
344,9513,3796,9780,
72,1562,1898,1829,
53,1136,1588,1403,
6,2309,2059,2576,
8,2570,2103,2837,
3,3970,2639,4237,
5,1726,1949,1993,
5,1726,1949,1993,
15,3318,2225,3585,
21,7312,3421,7579,
21,7312,3421,7579,
14,2464,2077,2731,
7,7489,3443,7756,
4,4111,2696,4378,
9,6588,3375,6855,
13,7951,3484,8218,
7,6588,3375,6855,
127,9518,3796,9785,
8,6222,3366,6489,
17,8799,3570,9066,
9,9518,3796,9785,
12,7672,3456,7939,
8,1685,1938,1952,
11,3318,2225,3585,
5,1973,1996,2240,
5,1973,1996,2240,
23,2036,2020,2303,
24,7137,3398,7404,
24,7137,3398,7404,
1,227,359,494,
25,7204,3404,7471,
25,7204,3404,7471,
0,226,359,493,
0,226,359,493,
63,7232,3407,7499,
21,2949,2140,3216,
0,9911,4139,10178,
0,9911,4139,10178,
6,6237,3366,6504,
6,6237,3366,6504,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
0,9911,4139,10178,
23,3318,2225,3585,
23,3318,2225,3585,
23,3318,2225,3585,
46,9518,3796,9785,
28,1677,1937,1944,
176,9518,3796,9785,
5,2867,2130,3134,
3,1178,1621,1445,
12,7473,3443,7740,
1,1798,1962,2065,
8,3318,2225,3585,
1,1798,1962,2065,
7,5141,3046,5408,
7,5141,3046,5408,
7,5141,3046,5408,
7,5141,3046,5408,
5,236,359,503,
18,3318,2225,3585,
6,4294,2841,4561,
4,3318,2225,3585,
