F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,
0,44,1234,4,0,240,1,59,0.5047219307450157,721,126,0.17475728155339806,1.0,0,1,
0,44,1234,4,0,240,1,59,0.11227701993704092,721,126,0.17475728155339806,1.0,0,1,
30,23,5408,5,7,1130,10,239,0.7136563876651982,253,155,0.6126482213438735,0.5775100401606426,17,1,
30,23,5408,5,7,1130,10,239,0.7136563876651982,253,155,0.6126482213438735,0.5775100401606426,17,1,
0,2,1234,4,0,240,1,59,0.7737226277372263,89,28,0.3146067415730337,1.0,0,1,
0,2,1234,4,6,240,1,59,0.9562043795620438,89,28,0.3146067415730337,1.0,0,1,
0,2,1234,4,6,240,1,59,0.9562043795620438,89,28,0.3146067415730337,1.0,0,1,
30,23,5408,5,7,1130,10,239,0.7136563876651982,253,155,0.6126482213438735,0.5775100401606426,17,1,
13,5,1234,2,4,240,3,59,0.6956521739130435,166,39,0.23493975903614459,0.6752136752136753,0,1,
0,5,1234,2,2,240,1,59,0.2391304347826087,166,39,0.23493975903614459,1.0,0,1,
0,5,1234,2,2,240,1,59,0.24347826086956523,166,39,0.23493975903614459,1.0,0,1,
0,5,1234,2,2,240,1,59,0.25217391304347825,166,39,0.23493975903614459,1.0,0,1,
0,5,1234,2,2,240,1,59,0.2565217391304348,166,39,0.23493975903614459,1.0,0,1,
0,5,1234,2,12,240,1,59,0.8652173913043478,166,39,0.23493975903614459,1.0,0,1,
30,23,5408,5,7,1130,10,239,0.7136563876651982,253,155,0.6126482213438735,0.5775100401606426,17,1,
31,11,1234,1,16,240,12,59,0.6058823529411764,88,66,0.75,0.35944700460829493,13,1,
30,23,5408,5,7,1130,10,239,0.7136563876651982,253,155,0.6126482213438735,0.5775100401606426,17,1,
30,23,5408,5,7,1130,10,239,0.7136563876651982,253,155,0.6126482213438735,0.5775100401606426,17,1,
30,23,5408,5,7,1130,10,239,0.7136563876651982,253,155,0.6126482213438735,0.5775100401606426,17,1,
30,23,5408,5,7,1130,10,239,0.7136563876651982,253,155,0.6126482213438735,0.5775100401606426,17,1,
0,1,1234,2,0,240,1,59,0.7789473684210526,56,25,0.44642857142857145,1.0,0,1,
0,1,1234,2,4,240,1,59,0.6421052631578947,56,25,0.44642857142857145,1.0,0,1,
0,1,1234,2,4,240,1,59,0.6947368421052632,56,25,0.44642857142857145,1.0,0,1,
30,23,5408,5,7,1130,10,239,0.7136563876651982,253,155,0.6126482213438735,0.5775100401606426,17,1,
38,5,1234,1,4,240,14,59,0.8282828282828283,67,19,0.2835820895522388,0.7105263157894737,0,1,
0,5,1234,1,2,240,1,59,0.32323232323232326,67,19,0.2835820895522388,1.0,0,1,
