F41,F40,F43,F42,F45,F44,F140,F47,F141,F46,F142,F49,F143,F48,F126,F127,F128,F129,F50,F52,F51,F36,F130,F35,F131,F38,F132,F37,F133,F134,F39,F135,F136,F137,F138,F139,
370,0.0,41,300,70,711,1332,1292,138184,0.06695619677280992,34342,42,0.08120918386626688,536,685,67,3,755,1870,0.034495405739038726,756,0,618,0,0.28633666072113945,0,37033,0,22215,744,0,59992,14818,0.11711624209238157,85597,51255,
370,0.0,41,300,70,711,1332,1292,138184,0.06695619677280992,34342,42,0.08120918386626688,536,685,67,3,755,1870,0.034495405739038726,756,0,618,0,0.28633666072113945,0,37033,0,22215,744,0,59992,14818,0.11711624209238157,85597,51255,
370,0.0,41,300,70,711,1332,1292,138184,0.06695619677280992,34342,42,0.08120918386626688,536,4720,4426,1,9147,1870,0.034495405739038726,756,0,294,0,0.34483363850911986,0,37033,0,22215,744,0,59992,14818,0.11711624209238157,85597,51255,
370,0.0,41,300,70,711,1332,1292,138184,0.06695619677280992,34342,42,0.08120918386626688,536,4720,4426,1,9147,1870,0.034495405739038726,756,0,294,0,0.34483363850911986,0,37033,0,22215,744,0,59992,14818,0.11711624209238157,85597,51255,
370,0.0,41,300,70,711,1332,1292,138184,0.06695619677280992,34342,42,0.08120918386626688,536,4720,4426,1,9147,1870,0.034495405739038726,756,0,294,0,0.34483363850911986,0,37033,0,22215,744,0,59992,14818,0.11711624209238157,85597,51255,
370,0.0,41,300,70,711,1332,1292,138184,0.06695619677280992,34342,42,0.08120918386626688,536,4720,4426,1,9147,1870,0.034495405739038726,756,0,294,0,0.34483363850911986,0,37033,0,22215,744,0,59992,14818,0.11711624209238157,85597,51255,
370,0.0,41,300,70,711,1332,1292,138184,0.06695619677280992,34342,42,0.08120918386626688,536,4720,4426,1,9147,1870,0.034495405739038726,756,0,294,0,0.34483363850911986,0,37033,0,22215,744,0,59992,14818,0.11711624209238157,85597,51255,
370,0.0,41,300,70,711,1332,1292,138184,0.06695619677280992,34342,42,0.08120918386626688,536,4720,4426,1,9147,1870,0.034495405739038726,756,0,294,0,0.34483363850911986,0,37033,0,22215,744,0,59992,14818,0.11711624209238157,85597,51255,
370,0.0,41,300,70,711,1332,1292,138184,0.06695619677280992,34342,42,0.08120918386626688,536,4720,4426,1,9147,1870,0.034495405739038726,756,0,294,0,0.34483363850911986,0,37033,0,22215,744,0,59992,14818,0.11711624209238157,85597,51255,
370,0.0,41,300,70,711,1332,1292,138184,0.06695619677280992,34342,42,0.08120918386626688,536,4720,4426,1,9147,1870,0.034495405739038726,756,0,294,0,0.34483363850911986,0,37033,0,22215,744,0,59992,14818,0.11711624209238157,85597,51255,
