F61,F77,F88,F70,
3,1074,840,2092,
1,792,768,1810,
1,792,768,1810,
15,1421,916,2439,
21,1797,973,2815,
21,1797,973,2815,
301,8762,2669,9780,
29,811,771,1829,
10,385,461,1403,
4,1558,932,2576,
6,1819,976,2837,
1,3219,1512,4237,
2,975,822,1993,
2,975,822,1993,
4,396,463,1414,
7,2567,1098,3585,
13,6561,2294,7579,
13,6561,2294,7579,
6,1713,950,2731,
7,6738,2316,7756,
4,3360,1569,4378,
9,5837,2248,6855,
13,7200,2357,8218,
7,5837,2248,6855,
127,8767,2669,9785,
8,5471,2239,6489,
17,8048,2443,9066,
8,8767,2669,9785,
12,6921,2329,7939,
6,934,811,1952,
9,2567,1098,3585,
4,1222,869,2240,
4,1222,869,2240,
19,1285,893,2303,
22,6386,2271,7404,
22,6386,2271,7404,
8,2567,1098,3585,
23,6453,2277,7471,
23,6453,2277,7471,
57,6453,2277,7471,
57,6453,2277,7471,
59,6481,2280,7499,
17,2198,1013,3216,
0,9160,3012,10178,
0,9160,3012,10178,
6,5486,2239,6504,
6,5486,2239,6504,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
22,2567,1098,3585,
22,2567,1098,3585,
22,2567,1098,3585,
45,8767,2669,9785,
18,926,810,1944,
166,8767,2669,9785,
3,2116,1003,3134,
1,427,494,1445,
12,6722,2316,7740,
0,1047,835,2065,
7,2567,1098,3585,
0,1047,835,2065,
7,4390,1919,5408,
7,4390,1919,5408,
7,4390,1919,5408,
7,4390,1919,5408,
9,2567,1098,3585,
9,2567,1098,3585,
9,2567,1098,3585,
6,3543,1714,4561,
4,2567,1098,3585,
6,845,782,1863,
12,1334,901,2352,
40,3219,1512,4237,
40,3219,1512,4237,
40,3219,1512,4237,
11,1007,828,2025,
31,780,765,1798,
204,8464,2551,9482,
3,862,790,1880,
1,346,442,1364,
1,346,442,1364,
1,346,442,1364,
1,346,442,1364,
1,346,442,1364,
1,346,442,1364,
102,5639,2244,6657,
102,5639,2244,6657,
15,1240,875,2258,
18,7203,2358,8221,
2,960,820,1978,
8,535,596,1553,
9,557,601,1575,
1,557,601,1575,
1,522,591,1540,
273,8762,2669,9780,
1,305,421,1323,
6,557,601,1575,
0,198,302,1216,
6,557,601,1575,
6,557,601,1575,
6,557,601,1575,
6,557,601,1575,
6,557,601,1575,
0,1488,923,2506,
3,529,594,1547,
4,529,594,1547,
0,529,594,1547,
0,529,594,1547,
0,529,594,1547,
2,405,469,1423,
1,557,601,1575,
6,557,601,1575,
4,506,582,1524,
2,454,523,1472,
7,498,574,1516,
15,557,601,1575,
8,557,601,1575,
8,557,601,1575,
6,557,601,1575,
0,305,421,1323,
0,305,421,1323,
4,9160,3012,10178,
3,557,601,1575,
3,557,601,1575,
3,557,601,1575,
3,557,601,1575,
3,557,601,1575,
0,557,601,1575,
0,557,601,1575,
0,557,601,1575,
0,557,601,1575,
0,557,601,1575,
0,557,601,1575,
0,557,601,1575,
0,557,601,1575,
1,557,601,1575,
1,557,601,1575,
2,557,601,1575,
2,557,601,1575,
10,5651,2244,6669,
12,7242,2364,8260,
0,9160,3012,10178,
0,9160,3012,10178,
1,1238,874,2256,
0,9160,3012,10178,
1,1238,874,2256,
0,9160,3012,10178,
1,1238,874,2256,
1,1238,874,2256,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
0,9160,3012,10178,
