F62,F65,F64,F67,F34,F66,F69,F68,F101,F102,F103,F104,F105,F107,F108,
17,13,1321,3,12,132,6,29,0.40168539325842695,263,38,0.1444866920152091,0.35294117647058826,0,1,
4,13,1321,3,8,132,1,29,0.5870786516853933,263,38,0.1444866920152091,0.75,0,1,
13,13,1321,3,8,132,2,29,0.547752808988764,263,38,0.1444866920152091,0.9230769230769231,0,1,
0,13,1321,3,0,132,1,29,0.898876404494382,263,38,0.1444866920152091,1.0,0,1,
0,13,1321,3,10,132,1,29,0.8679775280898876,263,38,0.1444866920152091,1.0,0,1,
0,13,1321,3,9,132,1,29,0.6095505617977528,263,38,0.1444866920152091,1.0,0,1,
70,15,1321,1,13,132,6,29,0.5560233918128654,678,30,0.04424778761061947,0.08571428571428572,8,0,
8,15,1321,1,8,132,2,29,0.5801169590643275,678,30,0.04424778761061947,0.5,0,1,
14,15,1321,1,8,132,2,29,0.5508771929824562,678,30,0.04424778761061947,0.21428571428571427,8,1,
0,4,1321,1,4,132,1,29,0.3448275862068966,48,2,0.041666666666666664,1.0,0,1,
3,3,1321,1,8,132,1,29,0.8108108108108109,20,10,0.5,0.6666666666666666,0,1,
7,5,1321,1,0,132,4,29,0.7474747474747475,77,2,0.025974025974025976,1.0,11,1,
16,11,1321,1,0,132,10,29,0.5521235521235521,174,47,0.27011494252873564,1.0,21,1,
10,24,794,1,8,179,7,12,0.7743732590529248,249,33,0.13253012048192772,0.1,0,1,
4,24,794,1,4,179,2,12,0.8440111420612814,249,33,0.13253012048192772,0.25,0,1,
8,6,794,1,10,179,3,12,0.6,60,42,0.7,0.375,0,1,
4,12,794,1,8,179,3,12,0.42857142857142855,92,20,0.21739130434782608,0.5,2,1,
0,14,88,1,8,35,1,4,0.5851851851851851,86,23,0.26744186046511625,1.0,0,1,
0,5,99,1,11,12,1,3,0.25274725274725274,130,21,0.16153846153846155,1.0,0,1,
0,2,99,1,4,12,1,3,0.8157894736842105,14,21,1.5,1.0,0,1,
0,1,72,1,6,15,1,6,0.9393939393939394,12,18,1.5,1.0,0,1,
